parameter_name,TEMPERATE_CEREALS,RICE,MAIZE,TROPICAL_CEREALS,PULSES,TEMPERATE_ROOTS,TROPICAL_ROOTS,SUNFLOWER,SOYBEAN,GROUNDNUT,RAPESEED,SUGARCANE
photosens,long,short,short,short,long,long,short,long,short,short,long,long
basetemp,0,8,6,8,1,3,15,6,7,14,0,11
basetemp2,0,8,6,8,1,3,15,6,7,14,0,11
basephoto,8,24,0,0,0,0,0,0,0,0,8,0
fphu.ant,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
vern.temp.min,-4,,,,,,,,,,-4,
vern.temp.opt.min,3,,,,,,,,,,3,
vern.temp.opt.max,10,,,,,,,,,,10,
vern.temp.max,17,,,,,,,,,,17,
max.vern.days,60,,,,,,,,,,60,
